"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"215","60514",3,1,0,3,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,205,205,261,261,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"216","60515",6,0,0,6,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,419,419,546,546,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"217","60516",10,1,0,10,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,200,213,349,366,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"218","60517",8,2,0,8,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,149,157,288,296,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"219","60518",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,16,16,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"220","60520",1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,20,20,28,28,0,0,"0%","0","0","0","0",NA,"0","0","0"
"221","60521",6,2,2,4,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,313,313,824,824,64,64,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"222","60523",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,128,128,128,128,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"223","60525",8,0,6,2,8,2,6,25,1,5,16.6666666666667,2,2,0,0,Inf,Inf,463,463,727,727,79,71,"15.01 - 20%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"224","60526",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,18,18,38,38,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"225","60527",4,5,1,3,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,181,181,691,704,125,125,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"226","60532",7,2,2,5,4,0,4,0,0,2,0,0,0,0,0,NA,NA,275,275,497,497,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"227","60534",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,16,8,16,0,0,"0%","0","0","0","0",NA,"0","0","0"
"228","60538",6,9,1,5,1,0,1,0,0,1,0,0,0,0,0,NA,NA,108,128,360,426,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"229","60540",11,4,1,10,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,548,556,1135,1149,166,166,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
